,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
108,29.0,26,24,2.74,21.39,2.278,0.188,2.091,2.56,20.1,73.56
109,25.7,39,24,3.68,20.31,2.319,0.178,2.141,1.96,19.92,72.18
110,28.0,42,24,4.26,19.93,2.224,0.201,2.024,2.11,18.82,74.38
111,24.7,41,21,3.19,17.68,0.0,0.0,0.0,2.61,18.79,77.76
112,24.8,39,32,5.31,27.07,2.148,0.204,1.945,1.88,20.02,70.41
113,29.2,39,22,2.69,19.41,2.192,0.163,2.029,2.53,18.65,75.4
114,28.7,41,21,4.8,16.33,2.159,0.152,2.008,2.31,18.17,74.41
115,28.5,41,23,3.42,19.44,2.14,0.179,1.961,2.55,18.88,74.1
116,24.2,41,29,5.16,23.41,2.264,0.21,2.053,1.78,19.67,72.5
117,23.1,44,33,6.99,25.55,2.321,0.288,2.033,1.19,19.51,71.25
118,27.2,30,10,1.39,8.96,0.0,0.0,0.0,1.07,19.3,76.59
119,18.6,39,33,5.92,27.12,2.369,0.301,2.068,1.54,20.39,70.45
120,29.3,30,27,3.54,23.27,2.26,0.137,2.123,2.3,20.44,75.16
121,23.9,40,30,4.86,24.88,2.367,0.233,2.134,1.78,20.33,73.66
122,24.8,36,29,6.09,22.65,2.267,0.234,2.033,1.92,19.24,76.08
123,22.4,39,24,4.23,19.74,0.0,0.0,0.0,2.39,19.66,76.38
124,21.5,40,40,8.67,31.55,2.211,0.259,1.952,1.8,20.44,72.67
125,26.2,39,25,3.19,22.0,2.195,0.178,2.017,2.34,18.83,77.17
126,25.1,43,25,5.99,18.95,2.209,0.19,2.019,2.14,18.55,75.96
127,26.7,41,24,3.77,20.58,2.158,0.183,1.975,2.4,19.3,75.53
128,22.4,42,31,5.74,25.69,2.231,0.227,2.005,1.68,20.11,73.01
129,20.6,43,36,7.88,28.12,2.349,0.323,2.026,1.07,19.91,72.94
130,25.8,28,12,1.5,10.59,0.0,0.0,0.0,0.99,19.58,78.13
131,25.6,45,30,4.61,25.17,2.229,0.221,2.008,1.7,21.19,69.46
132,25.0,38,27,3.64,23.25,2.353,0.209,2.144,1.93,20.99,71.66
133,29.9,33,26,2.98,23.24,2.239,0.141,2.098,2.36,21.34,71.82
134,28.5,40,24,3.0,21.07,2.154,0.182,1.972,2.59,20.19,72.55
135,27.7,37,27,4.86,22.16,2.274,0.239,2.035,2.13,20.2,73.4
136,22.3,40,30,3.99,26.21,2.355,0.27,2.085,1.63,21.26,67.73
137,27.1,43,22,3.75,18.7,2.187,0.166,2.021,2.31,19.53,73.41
138,23.7,40,34,6.56,27.61,2.321,0.313,2.009,1.04,20.89,70.12
139,25.0,40,35,4.96,30.26,2.193,0.238,1.955,1.83,21.65,68.29
140,29.6,41,24,2.23,21.67,2.184,0.171,2.013,2.48,19.71,73.63
141,25.6,44,23,3.34,19.54,0.0,0.0,0.0,2.46,19.94,76.18
142,28.7,34,12,1.15,10.68,0.0,0.0,0.0,0.97,20.42,76.36
143,27.9,36,26,4.02,21.89,2.393,0.229,2.165,1.47,25.3,76.16
144,37.3,32,21,1.98,19.3,2.249,0.148,2.101,2.12,25.32,76.68
145,26.4,43,30,3.35,26.25,2.386,0.29,2.095,1.53,25.14,74.08
146,27.8,40,34,4.41,30.03,2.228,0.265,1.962,1.72,26.11,73.11
147,31.8,31,11,1.25,9.41,0.0,0.0,0.0,0.99,24.9,79.16
148,28.3,38,21,2.81,17.84,0.0,0.0,0.0,2.2,24.43,79.6
149,27.2,39,33,5.91,27.38,2.339,0.327,2.013,0.93,25.18,74.28
150,28.4,44,29,4.06,25.27,2.278,0.24,2.037,1.52,25.46,73.65
151,30.6,40,22,2.23,19.36,2.221,0.199,2.021,2.29,24.89,76.62
152,29.2,40,20,2.84,16.95,2.175,0.176,1.999,1.98,24.07,79.24
153,32.4,40,23,1.9,21.16,2.193,0.174,2.02,2.21,24.04,80.53
154,29.7,39,26,4.5,21.6,2.306,0.251,2.055,1.74,24.55,78.44
155,36.5,25,17,2.23,15.02,2.078,0.151,1.926,1.83,26.93,77.07
156,35.0,26,24,3.82,20.25,2.178,0.231,1.946,0.99,27.86,72.09
157,35.8,29,24,2.92,20.71,2.128,0.2,1.929,1.85,28.63,71.31
158,40.5,28,16,1.62,14.48,2.11,0.143,1.966,2.24,27.53,74.28
159,35.7,31,16,2.16,13.99,0.0,0.0,0.0,2.22,27.14,77.14
160,33.6,29,19,3.17,15.73,2.369,0.188,2.181,1.64,27.68,75.02
161,37.8,32,20,2.37,17.61,2.147,0.159,1.988,1.55,27.85,72.56
162,40.6,27,20,1.76,17.75,2.164,0.157,2.008,2.18,26.96,77.42
163,43.0,27,13,0.91,11.73,2.196,0.093,2.104,2.2,27.85,75.13
164,37.1,25,8,1.46,6.83,0.0,0.0,0.0,0.88,27.38,77.51
165,39.1,28,19,2.88,15.63,2.192,0.204,1.988,1.71,27.26,75.83
166,36.1,26,20,1.81,17.96,2.236,0.208,2.028,1.67,27.49,72.86
167,34.6,20,13,1.71,10.81,1.958,0.096,1.862,2.24,29.72,75.18
168,31.0,20,15,1.83,13.34,2.095,0.141,1.954,1.76,30.05,72.71
169,35.3,21,8,1.09,6.9,2.021,0.054,1.969,2.39,30.0,76.06
170,31.2,21,15,2.65,12.31,2.052,0.192,1.86,1.71,29.82,76.24
171,31.0,23,13,2.13,11.16,0.0,0.0,0.0,2.32,30.18,75.72
172,28.9,23,13,2.97,10.35,2.219,0.131,2.088,1.8,30.17,75.29
173,34.0,20,14,1.46,12.4,2.015,0.096,1.92,2.3,29.44,77.95
174,34.1,22,14,2.21,11.35,2.06,0.123,1.937,1.89,29.79,76.14
175,29.0,19,19,3.76,15.1,2.031,0.172,1.859,0.95,30.74,71.51
176,29.9,21,17,3.01,13.87,2.006,0.11,1.896,1.67,30.12,73.72
177,28.3,21,20,3.71,16.23,1.987,0.14,1.847,2.07,30.92,72.28
178,35.4,25,6,0.89,4.73,0.0,0.0,0.0,0.93,29.77,75.73
179,20.3,14,14,2.34,12.1,2.053,0.152,1.901,1.81,29.86,75.56
180,18.2,16,19,4.72,13.86,1.938,0.132,1.806,2.07,31.02,74.46
181,22.7,18,4,0.92,3.12,0.0,0.0,0.0,1.16,29.18,76.11
182,23.4,16,12,2.09,10.37,2.016,0.107,1.91,1.83,29.41,80.07
183,18.0,14,18,4.46,13.47,1.985,0.16,1.826,0.99,30.13,73.05
184,17.5,14,16,3.06,13.34,1.941,0.102,1.839,1.57,30.0,75.79
185,21.8,12,11,2.02,9.26,1.889,0.093,1.796,2.16,29.08,77.4
186,19.6,14,14,3.73,10.58,1.885,0.16,1.726,1.56,29.72,77.16
187,21.8,13,13,1.74,10.95,1.977,0.108,1.869,2.13,29.55,79.14
188,20.8,17,12,2.64,9.07,0.0,0.0,0.0,2.37,30.85,76.46
189,17.7,16,14,2.95,10.56,2.168,0.138,2.03,1.69,29.89,77.55
190,22.7,16,12,2.4,9.22,0.0,0.0,0.0,2.6,29.22,69.7
191,22.0,12,14,2.85,11.52,2.03,0.146,1.885,1.91,30.55,69.79
192,26.8,17,5,1.02,3.59,0.0,0.0,0.0,1.32,28.59,76.51
193,22.9,11,13,2.78,10.42,1.914,0.111,1.802,2.37,29.86,68.37
194,23.4,13,16,4.23,11.96,1.903,0.145,1.758,1.97,29.68,73.67
