,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
354,15.6,8,15,4.06,11.12,2.016,0.169,1.847,1.86,30.25,73.24
355,13.8,8,17,5.13,11.82,1.814,0.104,1.711,1.85,29.73,75.21
356,19.3,8,6,1.58,4.73,1.911,0.018,1.899,2.52,29.47,77.63
357,31.8,17,8,1.35,7.07,2.023,0.023,2.002,2.36,28.48,75.75
358,24.5,16,15,3.32,12.04,2.288,0.211,2.077,1.34,28.83,74.75
359,25.1,14,18,3.22,14.37,1.902,0.112,1.79,1.71,28.95,72.0
360,29.5,19,14,2.73,10.98,1.974,0.129,1.845,2.12,29.04,72.51
361,24.3,14,20,3.53,15.99,2.074,0.201,1.872,1.07,29.45,72.93
362,25.5,19,16,3.49,12.83,1.955,0.158,1.797,1.9,29.17,69.75
363,23.2,15,22,4.42,17.73,2.015,0.152,1.863,2.06,29.01,75.36
364,30.2,17,7,1.76,5.24,0.0,0.0,0.0,1.28,28.29,72.3
365,29.8,20,14,1.92,12.37,2.055,0.132,1.924,2.24,28.91,72.5
366,24.8,14,14,2.87,11.15,0.0,0.0,0.0,2.44,28.81,70.85
367,28.3,19,17,2.85,13.8,2.027,0.131,1.895,1.99,28.76,72.34
368,24.8,17,18,3.37,14.96,2.117,0.197,1.92,1.75,29.51,69.98
369,31.2,22,8,1.35,6.99,0.0,0.0,0.0,1.23,26.48,72.5
370,24.2,25,22,4.11,17.76,2.2,0.228,1.973,1.7,27.57,71.25
371,31.7,24,12,1.94,9.69,2.166,0.055,2.111,2.19,26.89,76.7
372,25.0,24,19,4.82,14.57,2.365,0.238,2.127,1.33,27.09,74.29
373,28.4,26,20,3.65,16.74,2.123,0.161,1.962,1.93,26.86,72.77
374,25.4,21,16,3.35,13.05,0.0,0.0,0.0,2.33,26.72,72.77
375,29.2,28,19,2.89,15.72,2.139,0.161,1.979,2.12,26.88,74.0
376,27.5,25,19,4.23,14.56,2.025,0.18,1.845,1.87,27.14,70.75
377,26.2,27,18,3.43,14.23,2.105,0.205,1.9,1.98,27.12,73.36
378,24.8,21,22,4.15,17.87,1.991,0.159,1.832,1.64,26.97,73.3
379,24.7,23,25,4.8,20.29,2.161,0.242,1.919,1.09,27.39,74.24
380,25.2,38,40,9.04,31.24,2.48,0.41,2.07,1.13,21.75,73.03
381,26.0,34,24,4.22,20.12,0.0,0.0,0.0,2.2,20.57,73.67
382,27.3,39,31,6.48,24.82,2.32,0.27,2.05,1.96,20.82,73.4
383,25.8,32,34,6.73,27.59,2.23,0.28,1.95,1.57,21.33,72.14
384,30.3,43,27,4.2,22.95,2.31,0.24,2.07,2.07,20.73,74.05
385,25.5,43,30,6.52,23.72,2.63,0.42,2.21,1.35,21.19,75.83
386,31.3,41,26,4.31,21.95,2.22,0.25,1.98,2.07,21.15,72.78
387,21.1,41,41,9.56,31.23,2.27,0.28,1.99,1.82,21.7,74.81
388,32.8,37,23,4.01,19.46,2.39,0.13,2.26,2.23,21.7,77.44
389,26.2,36,27,5.45,21.04,2.14,0.21,1.93,2.0,21.83,66.01
390,30.5,32,12,1.57,10.26,0.0,0.0,0.0,1.19,21.21,74.42
391,25.3,39,30,5.53,24.64,2.34,0.3,2.04,1.72,21.59,73.45
392,25.6,34,22,3.34,18.34,0.0,0.0,0.0,2.64,18.33,70.04
393,26.7,39,27,5.0,21.99,2.224,0.211,2.013,2.5,18.6,69.19
394,24.8,43,31,6.74,23.88,2.414,0.33,2.084,1.59,19.2,70.82
395,28.7,36,27,4.54,22.63,2.418,0.201,2.217,2.61,19.86,73.62
396,23.5,41,29,5.26,24.17,2.262,0.255,2.008,2.09,19.31,69.26
397,28.5,37,12,1.83,10.47,0.0,0.0,0.0,1.15,19.14,71.9
398,21.2,42,36,7.2,28.5,2.215,0.241,1.974,2.02,19.65,69.69
399,23.6,40,37,8.53,28.76,2.454,0.379,2.075,1.25,19.56,69.21
400,23.9,33,32,6.29,25.22,2.252,0.247,2.005,1.81,19.26,67.62
401,29.2,43,24,3.56,20.45,2.156,0.196,1.96,2.61,19.0,68.21
402,27.3,37,21,3.59,17.74,2.066,0.151,1.914,2.51,18.91,66.35
403,28.5,44,24,3.3,20.85,2.189,0.185,2.004,2.53,18.64,69.3
404,23.4,39,27,4.97,22.46,2.225,0.237,1.987,2.54,18.8,76.54
405,15.1,40,44,12.15,31.94,2.286,0.309,1.977,1.95,19.26,79.65
406,21.5,34,30,4.67,24.93,2.379,0.193,2.186,2.7,19.81,81.18
407,18.0,32,37,9.07,28.06,2.348,0.307,2.042,1.76,18.87,76.78
408,22.0,31,12,1.97,10.14,0.0,0.0,0.0,1.09,18.96,80.15
409,19.5,35,26,5.35,20.3,0.0,0.0,0.0,2.45,18.32,78.98
410,17.5,45,42,12.93,29.21,2.575,0.482,2.093,1.24,19.2,77.78
411,20.1,32,25,5.65,19.74,2.125,0.189,1.937,2.36,18.2,79.98
412,17.6,38,34,8.51,25.39,2.307,0.275,2.031,2.48,18.43,78.39
413,18.3,37,34,7.19,26.38,2.344,0.311,2.033,2.03,18.96,79.51
414,21.9,41,27,5.13,22.24,2.246,0.221,2.025,2.44,18.39,79.2
415,17.8,41,38,11.65,26.63,2.459,0.37,2.09,1.55,18.95,80.12
416,24.6,34,36,7.33,28.81,2.332,0.296,2.036,1.67,22.16,69.99
417,25.0,43,35,7.16,27.69,2.534,0.425,2.11,1.53,21.88,73.89
418,29.1,41,28,4.03,24.45,2.373,0.176,2.197,2.39,22.58,75.8
419,29.6,38,26,3.76,22.57,2.237,0.243,1.994,2.44,21.81,71.01
420,21.6,40,33,7.05,26.19,2.327,0.285,2.042,2.33,21.51,71.88
421,24.2,38,35,6.89,28.48,2.362,0.315,2.047,1.94,22.24,71.65
422,26.1,34,26,4.78,20.97,2.162,0.203,1.959,2.29,21.32,75.16
423,21.4,44,41,9.97,30.87,2.559,0.46,2.099,1.14,22.35,71.49
424,19.7,44,44,9.93,33.6,2.249,0.298,1.952,1.86,22.46,72.51
425,28.2,39,27,4.28,22.89,2.251,0.222,2.028,2.35,21.36,76.32
426,24.0,37,27,4.91,21.94,0.0,0.0,0.0,2.29,21.37,73.87
427,28.8,35,14,1.76,11.74,0.0,0.0,0.0,1.01,22.32,73.11
428,34.1,36,26,4.23,21.53,2.504,0.34,2.164,0.0,25.68,75.21
429,40.7,40,18,1.89,16.58,2.319,0.119,2.2,2.01,25.63,77.39
430,35.3,31,26,3.14,23.24,2.32,0.282,2.038,1.66,26.24,71.75
431,28.3,36,35,5.6,29.33,2.207,0.257,1.95,1.75,26.21,73.47
432,36.8,32,11,1.81,8.79,0.0,0.0,0.0,1.02,26.45,72.45
433,31.9,27,20,2.89,16.99,0.0,0.0,0.0,2.01,25.54,72.56
434,29.0,37,34,5.77,27.86,2.471,0.407,2.064,0.85,26.7,72.48
435,34.1,28,29,4.1,25.35,2.239,0.246,1.993,1.44,26.07,71.18
436,39.9,32,20,2.02,17.81,2.149,0.191,1.958,2.13,25.81,71.99
437,35.6,27,20,3.0,17.35,2.155,0.204,1.951,1.92,25.49,75.96
438,38.8,36,20,2.29,17.99,2.195,0.179,2.016,2.05,25.18,77.72
439,30.6,35,26,3.75,22.45,2.279,0.251,2.027,1.92,25.54,73.06
440,37.7,24,17,2.76,14.45,2.084,0.18,1.904,1.76,27.29,78.16
441,27.0,29,23,3.41,19.64,2.275,0.307,1.968,0.77,28.34,74.52
442,35.0,31,25,3.66,21.7,2.06,0.176,1.884,1.79,27.61,75.45
443,43.2,29,16,1.74,14.26,2.052,0.151,1.901,1.99,27.51,73.61
444,35.9,24,16,2.42,13.52,0.0,0.0,0.0,2.06,27.22,74.95
445,35.1,30,19,3.0,15.68,2.343,0.222,2.121,0.0,27.17,77.27
446,39.7,21,22,3.23,18.65,2.05,0.174,1.876,1.37,27.58,73.19
447,41.7,31,19,2.28,16.44,2.091,0.149,1.942,1.93,27.03,78.65
448,46.7,30,11,1.27,9.39,2.172,0.048,2.125,2.03,27.19,77.69
449,38.7,27,8,1.33,6.79,0.0,0.0,0.0,1.12,25.95,74.26
450,36.3,31,20,2.61,17.88,2.162,0.176,1.985,1.78,27.18,75.1
451,37.6,28,21,2.48,18.17,2.271,0.231,2.04,1.68,27.85,73.98
452,42.6,19,13,1.75,11.22,1.992,0.132,1.86,2.82,28.89,72.2
453,37.7,18,16,2.38,13.19,2.163,0.194,1.97,1.93,29.06,72.04
454,42.7,21,9,1.3,7.34,2.143,0.053,2.092,2.46,28.61,78.25
455,37.2,16,15,2.38,12.62,2.01,0.161,1.849,2.02,28.96,75.46
456,36.2,14,13,2.17,11.2,0.0,0.0,0.0,2.54,28.54,73.73
457,36.0,26,17,3.72,12.95,2.155,0.203,1.952,0.0,28.44,76.25
458,41.8,19,14,2.22,12.13,1.995,0.115,1.879,2.38,28.48,76.42
459,38.5,19,16,2.38,13.36,2.085,0.129,1.956,2.1,28.54,72.72
460,9.4,19,18,3.45,15.04,2.256,0.328,1.928,0.88,29.31,73.73
461,37.9,14,18,3.38,14.45,1.965,0.132,1.833,1.66,28.82,72.37
462,35.9,22,19,3.13,16.35,1.98,0.153,1.827,2.24,28.77,74.85
463,21.7,11,16,3.43,12.45,2.1,0.197,1.903,1.8,29.09,76.98
464,25.2,11,5,1.32,4.04,0.0,0.0,0.0,1.45,28.17,76.85
465,23.0,11,16,3.43,12.23,2.025,0.129,1.897,2.04,28.49,77.41
466,3.1,12,21,5.91,15.19,2.18,0.308,1.872,0.97,29.19,77.71
467,19.9,9,19,4.87,14.57,1.936,0.151,1.786,1.72,28.74,77.24
468,22.9,11,15,3.43,11.88,1.947,0.151,1.797,2.34,28.84,76.82
469,20.5,8,17,4.22,12.4,1.949,0.18,1.768,1.85,28.86,79.65
470,22.0,14,15,3.53,11.72,1.961,0.138,1.823,2.47,28.51,81.01
471,21.9,7,13,3.09,10.07,0.0,0.0,0.0,2.3,28.62,78.61
472,27.5,13,9,1.57,7.04,2.053,0.066,1.987,2.33,28.67,82.11
473,24.1,9,11,2.64,8.54,0.0,0.0,0.0,2.72,29.23,76.66
474,23.2,11,14,3.05,10.95,2.034,0.163,1.871,2.01,29.74,73.4
475,27.5,11,5,1.44,3.98,0.0,0.0,0.0,1.39,28.97,73.34
476,25.5,11,11,1.87,9.08,1.928,0.104,1.824,2.41,29.57,74.27
477,22.1,7,14,3.45,10.66,1.912,0.14,1.772,2.06,29.7,77.05
478,22.3,9,15,3.48,11.81,1.889,0.095,1.794,1.95,29.35,75.33
479,21.4,13,17,4.58,12.89,1.888,0.135,1.754,2.36,29.59,77.41
480,24.3,11,14,2.86,10.79,1.977,0.096,1.88,2.14,29.16,74.68
481,22.6,15,10,2.05,8.0,2.068,0.098,1.971,1.82,28.56,80.4
482,24.3,14,11,2.2,9.23,1.917,0.085,1.832,2.53,29.28,77.95
483,28.5,14,6,1.31,4.64,1.966,0.051,1.916,2.77,29.38,79.97
484,6.9,15,16,3.63,11.97,2.049,0.202,1.847,0.92,29.52,76.03
485,17.5,9,10,2.6,7.55,1.871,0.074,1.797,2.28,30.62,72.15
486,14.5,9,14,4.61,9.87,1.826,0.092,1.735,2.36,30.73,73.27
487,15.6,6,13,4.07,9.38,1.891,0.143,1.748,1.99,31.11,72.17
488,17.8,8,13,3.09,9.42,1.93,0.082,1.848,2.11,30.54,70.61
489,17.1,10,10,2.21,7.44,1.876,0.068,1.809,2.41,30.64,73.18
490,7.0,10,15,4.34,10.28,1.949,0.138,1.811,0.86,30.68,71.88
491,22.1,9,6,1.38,4.94,0.0,0.0,0.0,1.38,30.63,66.28
492,17.3,6,11,3.19,7.64,0.0,0.0,0.0,2.75,30.61,70.95
493,14.4,11,11,2.88,8.29,0.0,0.0,0.0,1.82,30.02,73.73
494,15.3,7,14,3.14,10.72,2.027,0.165,1.861,1.98,31.33,66.39
495,15.4,3,14,4.36,9.56,1.825,0.072,1.753,1.94,30.63,72.61
496,21.2,9,6,1.44,4.54,1.925,0.017,1.915,2.55,30.63,76.74
497,27.2,13,8,1.65,6.54,0.0,0.0,0.0,2.32,28.18,77.68
498,19.3,17,15,3.08,12.17,0.0,0.0,0.0,1.64,27.68,79.13
499,19.5,9,20,4.77,15.4,0.0,0.0,0.0,1.66,28.2,77.98
500,24.5,13,14,2.64,10.96,0.0,0.0,0.0,2.11,28.14,77.67
501,11.0,12,20,4.6,15.21,0.0,0.0,0.0,0.83,28.24,76.24
502,21.5,10,15,3.27,11.65,0.0,0.0,0.0,1.78,28.49,79.05
503,18.2,15,21,5.5,15.83,0.0,0.0,0.0,2.11,28.3,78.32
504,24.1,12,8,1.79,5.94,0.0,0.0,0.0,1.19,28.19,72.31
505,24.2,15,13,2.32,10.71,0.0,0.0,0.0,2.15,28.11,79.24
506,22.3,10,13,2.81,9.75,0.0,0.0,0.0,2.44,28.01,78.6
507,21.4,13,16,2.69,12.92,0.0,0.0,0.0,1.85,28.06,76.85
508,19.9,13,17,2.34,14.21,0.0,0.0,0.0,1.81,28.7,73.85
509,35.0,18,10,1.61,8.3,0.0,0.0,0.0,1.36,26.51,64.31
510,28.2,23,21,3.52,17.93,0.0,0.0,0.0,1.95,26.42,65.92
511,35.8,24,15,2.3,12.35,0.0,0.0,0.0,2.51,26.12,70.53
512,29.4,26,19,2.72,16.33,0.0,0.0,0.0,1.89,25.48,73.42
513,28.0,22,21,3.42,18.04,0.0,0.0,0.0,2.04,25.65,69.42
514,31.7,20,16,2.56,13.86,0.0,0.0,0.0,2.74,25.46,71.05
515,32.5,25,17,2.42,14.88,0.0,0.0,0.0,2.68,25.66,71.62
516,31.0,20,19,3.04,15.78,0.0,0.0,0.0,2.3,26.08,71.8
517,33.2,22,18,2.62,15.26,0.0,0.0,0.0,2.44,25.8,70.38
518,28.5,17,23,4.33,18.75,0.0,0.0,0.0,2.0,26.04,70.34
519,20.7,22,23,4.32,19.02,0.0,0.0,0.0,0.99,26.01,68.99
520,27.9,24,26,5.67,20.51,0.0,0.0,0.0,2.27,26.14,70.2
521,20.7,39,31,5.36,25.89,0.0,0.0,0.0,0.93,23.36,70.66
522,29.0,42,23,3.59,18.96,0.0,0.0,0.0,2.43,22.6,72.91
523,27.4,37,29,4.79,23.74,0.0,0.0,0.0,1.9,22.87,71.68
524,26.3,34,30,5.23,24.4,0.0,0.0,0.0,1.85,23.33,72.27
525,30.6,37,24,3.17,20.58,0.0,0.0,0.0,2.4,22.83,73.69
526,28.3,36,25,3.43,21.34,0.0,0.0,0.0,1.76,22.96,73.07
527,31.5,36,25,3.44,21.23,0.0,0.0,0.0,2.27,22.52,74.51
528,27.2,38,33,6.88,26.53,0.0,0.0,0.0,2.06,23.59,71.82
529,35.6,34,21,2.79,17.92,0.0,0.0,0.0,2.37,23.43,71.79
530,28.2,33,25,3.83,20.72,0.0,0.0,0.0,2.13,22.98,74.92
531,34.9,29,13,1.73,11.19,0.0,0.0,0.0,1.31,23.86,67.95
532,25.3,36,30,4.9,24.73,0.0,0.0,0.0,1.82,23.72,68.47
533,31.9,45,23,3.61,19.09,0.0,0.0,0.0,2.3,19.81,70.99
534,29.3,43,29,4.51,24.43,0.0,0.0,0.0,1.82,19.97,69.67
535,30.2,46,26,3.17,22.79,0.0,0.0,0.0,1.65,20.2,69.92
536,35.2,46,23,2.84,20.17,0.0,0.0,0.0,2.43,20.7,70.1
537,26.3,43,30,4.1,25.79,0.0,0.0,0.0,1.88,21.03,67.46
538,37.5,37,13,1.77,10.76,0.0,0.0,0.0,1.11,20.94,67.7
539,27.1,48,37,7.2,29.4,0.0,0.0,0.0,1.96,20.76,69.36
540,22.3,49,33,6.53,26.87,0.0,0.0,0.0,0.96,20.56,68.55
541,27.6,41,31,5.25,25.44,0.0,0.0,0.0,1.78,20.44,70.11
542,32.6,42,25,3.15,21.63,0.0,0.0,0.0,2.26,20.01,71.3
543,31.4,42,24,4.03,20.29,0.0,0.0,0.0,2.17,19.95,73.01
544,32.6,45,24,3.08,20.9,0.0,0.0,0.0,2.33,19.83,72.36
545,30.7,45,28,3.37,24.54,0.0,0.0,0.0,2.21,19.12,67.65
546,25.8,49,41,8.49,32.64,0.0,0.0,0.0,1.86,19.77,65.55
547,34.1,46,27,3.56,23.5,0.0,0.0,0.0,2.34,19.49,68.04
548,26.8,42,34,5.85,28.14,0.0,0.0,0.0,1.66,19.55,66.72
549,35.6,40,14,1.68,12.64,0.0,0.0,0.0,1.08,19.58,66.86
550,29.6,49,26,4.01,22.11,0.0,0.0,0.0,2.25,18.6,68.84
551,21.6,52,38,8.01,30.47,0.0,0.0,0.0,0.93,19.68,65.43
552,28.9,48,29,5.01,24.13,0.0,0.0,0.0,2.12,18.72,70.65
553,26.1,46,34,5.49,28.87,0.0,0.0,0.0,1.71,18.99,68.45
554,25.1,44,34,5.53,28.61,0.0,0.0,0.0,1.79,19.69,63.64
555,31.3,49,28,3.73,24.01,0.0,0.0,0.0,2.21,18.89,69.15
556,25.9,47,30,4.77,25.57,0.0,0.0,0.0,1.51,19.04,67.15
557,21.2,51,29,5.06,23.78,0.0,0.0,0.0,2.29,18.68,71.63
558,23.6,42,16,2.59,12.95,0.0,0.0,0.0,0.96,19.46,72.83
559,23.8,51,30,4.41,25.44,0.0,0.0,0.0,2.26,19.02,71.74
560,21.7,53,31,5.7,25.0,0.0,0.0,0.0,2.13,18.67,74.42
561,25.0,47,31,4.77,26.41,0.0,0.0,0.0,2.34,19.37,69.0
562,18.6,50,36,9.23,27.0,0.0,0.0,0.0,1.73,19.12,72.46
563,9.8,54,46,13.8,32.56,0.0,0.0,0.0,0.91,19.98,67.66
564,19.1,51,49,12.99,35.92,0.0,0.0,0.0,1.79,20.0,66.47
565,18.0,49,40,8.91,30.98,0.0,0.0,0.0,1.82,19.69,68.12
566,26.9,47,30,5.52,24.26,0.0,0.0,0.0,2.4,19.76,70.95
567,20.1,51,34,6.17,27.47,0.0,0.0,0.0,1.5,19.24,72.29
568,20.3,54,40,9.27,30.38,0.0,0.0,0.0,1.66,19.84,69.17
569,34.3,44,23,3.27,19.47,0.0,0.0,0.0,2.04,24.43,73.29
570,38.3,37,11,1.48,9.68,0.0,0.0,0.0,0.98,24.94,69.87
571,40.1,40,22,2.13,19.63,0.0,0.0,0.0,1.99,24.57,74.79
572,35.1,45,25,4.04,20.88,0.0,0.0,0.0,1.8,24.43,75.86
573,42.1,37,23,3.01,20.22,0.0,0.0,0.0,2.0,24.82,72.25
574,34.8,49,30,4.67,25.65,0.0,0.0,0.0,1.49,25.19,72.55
575,25.3,43,35,7.53,27.67,0.0,0.0,0.0,0.82,25.37,70.13
576,33.8,41,36,5.36,30.14,0.0,0.0,0.0,1.75,25.25,68.6
577,33.3,41,29,3.79,24.83,0.0,0.0,0.0,1.6,25.18,69.69
578,42.5,42,19,2.37,16.97,0.0,0.0,0.0,2.14,24.48,72.81
579,33.4,39,26,3.27,22.45,0.0,0.0,0.0,1.37,24.42,73.91
580,31.1,42,30,5.07,24.83,0.0,0.0,0.0,1.52,24.55,75.48
581,52.2,35,19,2.41,16.22,0.0,0.0,0.0,2.0,26.93,69.4
582,48.9,34,9,1.26,8.07,0.0,0.0,0.0,1.13,27.11,68.1
583,48.7,43,25,2.71,21.83,0.0,0.0,0.0,1.5,26.91,69.24
584,38.9,37,28,4.14,23.48,0.0,0.0,0.0,0.83,27.42,67.68
585,44.9,34,21,2.18,18.98,0.0,0.0,0.0,1.35,26.33,72.45
586,46.5,44,21,3.03,17.78,0.0,0.0,0.0,1.71,26.72,72.98
587,43.4,39,23,2.94,20.54,0.0,0.0,0.0,1.58,26.68,71.93
588,51.8,38,18,1.84,15.91,0.0,0.0,0.0,2.04,26.71,71.83
589,48.1,38,22,2.19,19.77,0.0,0.0,0.0,1.57,27.42,65.96
590,46.9,40,27,2.82,23.79,0.0,0.0,0.0,1.88,27.3,66.16
591,45.0,38,19,2.02,16.55,0.0,0.0,0.0,2.13,26.61,71.11
592,58.5,42,12,0.78,11.1,0.0,0.0,0.0,2.15,26.42,70.67
593,33.7,17,15,3.76,11.22,0.0,0.0,0.0,2.12,29.63,76.86
594,28.0,18,16,3.66,12.3,0.0,0.0,0.0,1.77,29.63,78.82
595,32.5,18,14,2.4,11.14,0.0,0.0,0.0,2.26,29.61,78.29
596,34.1,12,6,1.05,4.76,0.0,0.0,0.0,1.25,29.35,74.26
597,29.3,12,14,2.59,11.41,0.0,0.0,0.0,2.31,29.61,77.25
598,27.8,21,17,2.83,13.67,0.0,0.0,0.0,1.73,29.28,77.99
599,29.1,12,15,2.37,12.56,0.0,0.0,0.0,1.41,28.6,81.69
600,36.2,20,9,1.67,6.87,0.0,0.0,0.0,2.45,28.76,77.27
601,31.2,19,16,2.03,13.76,0.0,0.0,0.0,1.77,29.93,73.79
602,28.2,22,20,3.76,16.64,0.0,0.0,0.0,2.09,29.48,75.05
603,21.6,15,21,4.88,16.38,0.0,0.0,0.0,0.82,29.63,75.56
604,28.4,22,19,3.43,15.63,0.0,0.0,0.0,1.62,28.96,77.72
605,18.1,14,20,4.81,14.98,0.0,0.0,0.0,2.12,29.37,77.2
606,17.2,13,18,4.2,13.86,0.0,0.0,0.0,1.64,28.56,80.4
607,22.4,11,18,6.62,11.04,0.0,0.0,0.0,2.01,29.4,77.44
608,12.4,10,20,5.74,14.62,0.0,0.0,0.0,0.81,28.93,78.27
609,20.0,12,15,3.36,11.5,0.0,0.0,0.0,1.86,28.77,78.94
610,21.5,4,12,2.67,9.06,0.0,0.0,0.0,2.48,29.05,79.97
611,21.5,11,14,3.8,10.54,0.0,0.0,0.0,2.13,28.78,80.79
612,25.0,11,7,1.66,5.77,0.0,0.0,0.0,2.46,28.6,78.48
613,23.6,8,6,1.51,4.01,0.0,0.0,0.0,1.25,28.63,76.88
614,20.8,9,15,2.75,12.18,0.0,0.0,0.0,1.78,29.24,77.36
615,19.5,8,16,4.17,11.58,0.0,0.0,0.0,1.8,29.09,81.27
616,25.7,14,13,2.62,9.97,0.0,0.0,0.0,2.36,30.48,75.53
617,23.5,6,12,2.73,9.72,0.0,0.0,0.0,2.7,30.36,77.39
618,23.0,15,14,3.34,10.24,0.0,0.0,0.0,2.32,30.09,74.5
619,28.5,15,7,1.54,5.92,0.0,0.0,0.0,2.66,29.83,75.0
620,21.1,12,15,3.71,11.13,0.0,0.0,0.0,2.06,30.53,77.8
621,22.2,15,18,3.85,13.76,0.0,0.0,0.0,2.43,30.84,73.99
622,15.8,11,18,3.98,14.3,0.0,0.0,0.0,0.89,30.54,75.01
623,22.9,13,15,2.75,12.56,0.0,0.0,0.0,1.86,30.72,73.37
624,22.2,10,13,2.38,10.32,0.0,0.0,0.0,1.76,29.95,79.34
625,26.0,11,6,1.52,4.94,0.0,0.0,0.0,1.43,30.1,73.32
626,21.1,17,17,3.75,13.04,0.0,0.0,0.0,1.78,30.05,77.74
627,20.7,17,15,3.03,11.9,0.0,0.0,0.0,2.08,30.04,75.84
628,21.2,13,17,4.02,12.83,0.0,0.0,0.0,2.09,28.99,77.05
629,19.2,11,18,4.63,13.34,0.0,0.0,0.0,1.9,29.51,79.57
630,23.3,12,16,3.32,12.55,0.0,0.0,0.0,2.01,29.45,77.82
631,18.6,13,20,4.52,15.07,0.0,0.0,0.0,1.82,28.87,81.46
632,13.0,10,21,5.1,15.97,0.0,0.0,0.0,0.86,29.53,77.45
633,18.2,15,23,5.95,17.18,0.0,0.0,0.0,2.05,29.71,77.12
634,19.6,12,18,3.65,14.14,0.0,0.0,0.0,1.61,29.82,75.55
635,27.3,12,7,1.33,5.6,0.0,0.0,0.0,2.35,28.87,78.05
636,21.2,10,12,2.53,9.34,0.0,0.0,0.0,1.66,29.0,81.56
637,19.0,13,16,3.53,12.94,0.0,0.0,0.0,1.99,29.04,77.6
638,22.4,5,13,3.58,9.86,0.0,0.0,0.0,2.63,29.38,79.37
639,21.2,13,17,4.76,12.34,0.0,0.0,0.0,2.21,27.7,78.68
640,21.6,17,21,5.86,15.41,0.0,0.0,0.0,1.73,27.73,78.69
641,26.8,20,19,4.31,14.78,0.0,0.0,0.0,1.84,27.89,75.94
642,21.0,21,26,6.32,19.25,0.0,0.0,0.0,1.44,27.54,79.19
643,21.3,22,28,7.77,20.39,0.0,0.0,0.0,1.88,28.32,74.3
644,18.1,18,28,7.53,20.3,0.0,0.0,0.0,0.83,28.2,74.63
645,20.2,21,23,4.44,18.16,0.0,0.0,0.0,1.63,28.24,72.85
646,29.5,18,13,2.37,10.65,0.0,0.0,0.0,2.11,27.2,76.8
647,20.6,17,19,4.32,14.75,0.0,0.0,0.0,1.53,27.62,77.19
648,20.1,21,24,6.28,17.54,0.0,0.0,0.0,1.61,27.48,76.96
649,21.2,11,8,2.55,5.75,0.0,0.0,0.0,1.09,27.27,75.26
650,24.7,20,20,4.62,14.93,0.0,0.0,0.0,1.72,27.36,75.5
651,39.7,30,18,2.44,15.67,0.0,0.0,0.0,1.69,25.74,72.41
652,44.6,36,18,2.35,15.76,0.0,0.0,0.0,1.95,25.56,70.88
653,37.2,34,28,4.38,23.89,0.0,0.0,0.0,0.89,26.14,70.3
654,46.2,36,18,2.28,15.3,0.0,0.0,0.0,2.15,25.78,71.36
655,39.8,34,20,3.05,17.36,0.0,0.0,0.0,1.98,25.65,74.03
656,34.2,36,24,2.7,21.73,0.0,0.0,0.0,1.71,26.29,68.23
657,47.4,31,14,1.66,12.49,0.0,0.0,0.0,2.39,25.28,72.28
658,37.4,26,11,1.61,9.4,0.0,0.0,0.0,1.29,25.96,70.68
659,37.3,34,18,2.87,15.06,0.0,0.0,0.0,2.43,25.5,74.2
660,37.2,31,28,4.52,23.46,0.0,0.0,0.0,2.01,26.31,69.64
661,38.9,37,26,4.18,22.28,0.0,0.0,0.0,1.57,25.67,74.86
662,37.1,38,25,3.89,21.21,0.0,0.0,0.0,1.85,25.48,73.4
663,29.0,39,33,5.52,27.31,0.0,0.0,0.0,0.85,22.91,69.7
664,38.6,34,19,2.35,16.33,0.0,0.0,0.0,2.31,22.14,72.3
665,29.9,37,22,3.29,18.85,0.0,0.0,0.0,2.4,21.79,73.61
666,29.5,45,29,4.98,23.87,0.0,0.0,0.0,1.99,21.98,72.08
667,27.5,42,29,3.9,25.21,0.0,0.0,0.0,1.72,22.88,67.71
668,28.8,39,31,5.36,26.04,0.0,0.0,0.0,1.69,22.25,70.71
669,29.0,36,33,5.5,27.37,0.0,0.0,0.0,1.98,22.96,68.88
670,33.2,38,12,2.11,10.24,0.0,0.0,0.0,1.31,22.62,70.1
671,33.3,41,23,3.35,20.01,0.0,0.0,0.0,2.12,22.39,70.71
672,34.5,39,24,3.81,20.24,0.0,0.0,0.0,2.06,22.09,70.04
673,31.0,42,26,4.54,21.51,0.0,0.0,0.0,2.03,22.14,73.33
674,31.3,40,24,3.55,20.92,0.0,0.0,0.0,1.74,22.51,70.35
675,25.5,37,33,6.31,27.1,0.0,0.0,0.0,1.73,19.66,71.63
676,24.5,34,38,8.64,29.22,0.0,0.0,0.0,2.04,20.49,67.92
677,22.7,36,36,7.76,28.18,0.0,0.0,0.0,0.9,20.61,67.08
678,24.1,34,31,5.73,25.37,0.0,0.0,0.0,1.89,20.11,68.56
679,31.0,32,25,4.92,20.5,0.0,0.0,0.0,2.61,19.94,72.22
680,27.0,36,25,4.94,19.98,0.0,0.0,0.0,2.34,19.19,74.63
681,28.1,36,26,4.03,22.06,0.0,0.0,0.0,1.73,19.91,70.17
682,25.5,34,23,3.78,18.89,0.0,0.0,0.0,2.58,18.94,74.84
683,29.9,32,12,2.89,9.0,0.0,0.0,0.0,1.22,19.89,73.05
684,25.0,39,30,6.25,23.6,0.0,0.0,0.0,2.17,19.23,72.02
685,28.9,39,25,4.03,20.73,0.0,0.0,0.0,2.4,19.65,71.17
