編號,學號,,學校班級,school,,,,國文,英文,數A,數B,社會,自然,英聽,入取管道
52,1500123,,新莊317,龍華科大 工管系,,,,11(均+1),8(均),3(底),10(均+2),X,10(均),,申請
53,1500124,,三重三義, 中華大學 餐旅管理系 繁星47%,,,,8(底+1),9(均+1),X,2(X),9(後),X,C,繁星
54,1500126,,新莊308,淡江大學 資訊傳播學系,,,,12(前),8(均),3(底),9(均+1),13(頂),X,C,申請
55,1500127,,新莊301,世新大學 口傳系,,,,10(均),12(前),X,5(後+1),11(均),X,,申請
56,1500128,,復興美三義,國立台灣藝術大學 美術學系,,,,9(後),2(X),X,X,8(底+1),X,,
57,1500129,,三重三孝, 國立台南大學 戲劇創作與應用 繁星,,,,10(均),10(均+2),X,4(後),12(前),X,B,繁星
58,1500130,,新莊317,逢甲大學 土地管理學系,,,,12(前),5(後),6(均),12(前+1),14(頂+1),9(後+2),C,申請
59,1500131,,丹鳳語資,輔仁大學 英國語文學系,,,,12(前),14(頂+1),X,4(後),11(均),X,A,申請
60,1500132,,明倫312,東海大學景觀學系,,,,12(前),11(均+3),2(X),3(底),12(前),X,B,申請
61,1500058,,恆毅三節,龍華科大 ,,,,9(後),6(後+1),2(X),7(後+3),11(均),5(底),,申請
62,1500117,,華江,東華大學 化學系,,,,11(均+1),9(均+1),8(前),9(均+1),8(底+1),12(前),C,申請
63,1500133,,新莊315,中原大學 特殊教育學系,,,,,,,,,,,申請
64,1500134,,新莊303,亞洲大學 心理系工商與社會心理組,,,,,,,,,,B,申請
65,1500135,,新莊303,國立暨南大學 觀光休閒與餐旅管理學系觀光休閒組,,,,,,,,,,C,申請
66,1500136,,新莊301,輔仁大學 法律學系,,,,,,,,,,A,申請
67,1500138,,華興三甲,中原大學 特殊教育學系,,,,,,,,,,,申請
69,1500137,,丹鳳306,中原大學 土木工程學系,,,,11(均+1),5(後),4(後),6(後+2),12(前),9(後+2),C,申請
70,1500139,,新莊317,國立台東大學 幼兒教育學系,,,,11(均+1),10(均+2),8(前),12(前+1),X,12(前),B,申請
71,,,,,,,,,,,,,,,
