NO,Gender,Bornyear,Race,Player,Sportyear,Bestpride,Income,PrantEdu,PersonalEdu,WantJob,SS01,SS02,SS03,SS04,SS05,SS06,SS07,SS08,SS09,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,CB01,CB02,CB03,CB04,CB05,CB06,CB07,CB08,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10
10221,female,82,2,0,3,2,1,3,2,1,2,3,4,3,5,5,5,3,5,3,3,3,4,5,5,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,3,3,4,4,3,3,3,3
10222,female,81,3,0,11,1,1,3,2,1,5,5,5,4,5,5,5,5,4,4,4,4,5,3,4,4,5,5,2,2,3,5,2,4,4,4,5,5,5,4,4,5,4,2,2,2,2,4
10223,male,82,2,0,3,2,2,3,1,0,2,3,3,2,4,4,4,3,4,3,3,4,3,4,3,3,4,3,3,4,4,4,4,4,3,4,3,5,5,5,5,5,5,5,5,5,5,5
10224,male,82,1,0,7,2,1,3,2,0,2,3,2,1,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5
10225,male,81,1,0,7,3,1,3,2,0,1,4,4,4,4,3,3,3,5,4,4,4,4,5,5,5,3,5,2,2,3,3,3,4,3,5,3,5,5,4,3,3,5,4,3,3,2,2
10226,male,81,1,0,7,3,2,5,4,1,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5
10227,male,82,1,0,5,3,2,2,3,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10228,female,82,1,0,9,2,3,6,2,1,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,1,4,4,1,1,4,4,3,3,5,5,3,4,4,3,3,3,3,3,4,4,4,3
10229,male,82,1,0,6,2,1,5,2,1,2,4,3,1,5,5,5,5,4,2,2,4,2,2,5,5,5,5,2,5,2,3,2,5,3,5,5,5,4,4,3,3,5,4,5,3,2,5
10230,male,82,,0,6,2,1,4,1,1,1,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,3,4,4,3,4,3,5,3,5,5,4,4,4,4,4,4,4,4,4
10231,female,82,1,0,5,2,1,3,2,1,3,2,3,1,4,3,3,2,4,3,3,4,4,5,5,3,4,3,2,3,3,3,3,4,4,5,3,4,3,2,3,4,3,3,4,4,4,4
10232,male,81,1,0,6,1,2,6,2,1,3,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,3,3,3,4,5,5,5,4,4,4,5,5,4,3,3,3,3
10233,male,81,1,0,3,2,1,2,1,0,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,3,5,5,3,3,5,4,4,5,4,5,4,4,4,3,3,5,5,5,5,5
10234,female,82,3,0,3,2,1,2,1,0,2,3,4,3,5,4,5,5,4,4,4,4,3,4,4,4,3,3,4,4,3,3,3,4,3,4,3,5,3,4,3,3,3,3,4,4,3,3
10235,female,82,1,0,8,2,1,4,2,1,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,5,3,4,4,4,3,4,4,3,3,3,4,4
10236,female,81,1,0,8,2,1,3,2,1,1,4,4,2,5,5,5,5,5,5,5,5,3,5,4,4,3,5,4,4,4,4,3,4,3,4,2,4,4,4,4,4,3,3,4,4,3,4
10237,female,82,1,0,8,1,1,2,2,0,3,5,5,4,5,4,5,5,3,4,4,4,3,4,4,3,3,3,3,3,5,5,4,5,4,5,5,5,5,3,4,4,4,4,4,5,4,4
10238,male,82,3,0,5,2,1,3,2,1,3,4,4,4,4,5,4,5,5,3,4,5,4,4,3,4,2,2,3,3,4,3,4,4,4,4,5,4,4,5,4,4,3,3,4,5,5,3
10239,male,82,1,1,3,1,1,3,2,1,3,4,5,4,5,5,5,5,4,4,4,4,3,3,3,1,1,1,5,5,1,3,1,2,4,4,4,3,3,4,2,2,1,2,2,2,2,2
10240,female,82,1,0,6,2,2,3,2,1,3,4,4,2,5,4,4,3,5,5,4,3,5,5,5,3,5,5,5,5,4,3,3,2,3,5,5,5,5,5,4,5,5,4,4,3,4,3
10241,male,82,1,0,6,2,2,3,2,1,4,5,5,4,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,3,5,5,4,4,4,4,5,5,5,5,5
10242,female,81,1,0,8,2,2,5,2,1,1,4,4,3,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5,5,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4
10243,female,82,1,0,5,2,2,3,2,1,4,4,2,4,4,3,3,3,5,3,3,4,3,3,5,2,4,4,4,4,4,2,2,4,4,4,3,4,4,4,4,3,3,2,3,3,2,3
10244,male,81,1,0,6,2,1,3,2,1,2,5,5,5,5,5,5,5,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4
10245,female,82,1,0,5,2,1,5,2,1,2,2,2,1,4,4,4,4,4,4,3,3,4,4,5,3,3,4,1,3,4,5,4,2,5,5,4,4,4,4,4,4,3,4,4,4,4,4
10246,male,81,1,0,3,2,2,3,2,1,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
10247,female,82,1,0,5,2,1,4,2,1,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,4,4,2,5,4,5,5,5,5,4,4,4,4,4,5,4,5
10248,male,81,1,0,3,2,3,3,2,0,4,4,2,4,4,4,4,4,4,4,4,4,5,4,5,2,4,5,5,5,4,4,4,3,4,4,2,5,4,2,2,2,4,2,2,2,2,2
10249,male,81,1,0,8,2,2,3,2,0,1,2,3,1,4,4,4,4,5,4,4,4,4,4,4,2,3,4,4,4,2,3,2,3,3,4,4,5,4,4,3,3,3,2,3,2,2,4
10250,male,80,1,0,5,2,2,2,3,1,1,3,3,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,4,1,2,4,4,5,5,5,4,1,4,2,2,4,4,4,4,4
